"FileName","SolidFlags","EdgeUp","EdgeDown","EdgeLeft","EdgeRight","Fill","Comment"
"A1","BE+BEU+BED+BER+BEL","EMPTY","EMPTY","EMPTY","EMPTY","0","Standard"
"A2","BS+BSU+BSD+BSR+BSL","SOLID","SOLID","SOLID","SOLID","100","Standard"
"B1","BEU+BSD","EMPTY","SOLID","HALF_DOWN","HALF_DOWN","50","Standard"
"B2","BER+BSL","HALF_LEFT","HALF_LEFT","SOLID","EMPTY","50","Standard"
"B3","BED+BSU","SOLID","EMPTY","HALF_UP","HALF_UP","50","Standard"
"B4","BEL+BSR","HALF_RIGHT","HALF_RIGHT","EMPTY","SOLID","50","Standard"
"C11","BEU+BEL","EMPTY","HALF_RIGHT","EMPTY","HALF_DOWN","25","Standard"
"C12","BEU+BER","EMPTY","HALF_LEFT","HALF_DOWN","EMPTY","25","Standard"
"C13","BED+BER","HALF_LEFT","EMPTY","HALF_UP","EMPTY","25","Standard"
"C14","BED+BEL","HALF_RIGHT","EMPTY","EMPTY","HALF_UP","25","Standard"
"C21","BSU+BSL","SOLID","HALF_LEFT","SOLID","HALF_UP","75","Standard"
"C22","BSU+BSR","SOLID","HALF_RIGHT","HALF_UP","SOLID","75","Standard"
"C23","BSD+BSR","HALF_RIGHT","SOLID","HALF_DOWN","SOLID","75","Standard"
"C24","BSD+BSL","HALF_LEFT","SOLID","SOLID","HALF_DOWN","75","Standard"
"D11","BSD+BEU","EMPTY","SCOR_LEFTN","ECOR_DOWNN","HALF_DOWN","35","Open Corners"
"D12","BSD+BEU","EMPTY","SCOR_RIGHTN","HALF_DOWN","ECOR_DOWNN","35","Open Corners"
"D13","BSL+BER","ECOR_LEFTN","HALF_LEFT","SCOR_UPN","EMPTY","35","Open Corners"
"D14","BSL+BER","HALF_LEFT","ECOR_LEFTN","SCOR_DOWNN","EMPTY","35","Open Corners"
"D15","BSU+BED","SCOR_RIGHTN","EMPTY","HALF_UP","ECOR_UPN","35","Open Corners"
"D16","BSU+BED","SCOR_LEFTN","EMPTY","ECOR_UPN","HALF_UP","35","Open Corners"
"D17","BSR+BEL","HALF_RIGHT","ECOR_RIGHTN","EMPTY","SCOR_DOWNN","35","Open Corners"
"D18","BSR+BEL","ECOR_RIGHTN","HALF_RIGHT","EMPTY","SCOR_UPN","35","Open Corners"
"D21","BED+BSU","SOLID","ECOR_LEFTN","SCOR_DOWNN","HALF_UP","65","Open Corners"
"D22","BED+BSU","SOLID","ECOR_RIGHTN","HALF_UP","SCOR_UPN","65","Open Corners"
"D23","BEL+BSR","SCOR_LEFTN","HALF_RIGHT","ECOR_UPN","SOLID","65","Open Corners"
"D24","BEL+BSR","HALF_RIGHT","SCOR_LEFTN","ECOR_DOWNN","SOLID","65","Open Corners"
"D25","BEU+BSD","ECOR_RIGHTN","SOLID","HALF_DOWN","SCOR_UPN","65","Open Corners"
"D26","BEU+BSD","ECOR_LEFTN","SOLID","SCOR_UPN","HALF_DOWN","65","Open Corners"
"D27","BER+BSL","HALF_LEFT","SCOR_RIGHTN","SOLID","ECOR_DOWNN","65","Open Corners"
"D28","BER+BSL","SCOR_RIGHTN","HALF_LEFT","SOLID","ECOR_UPN","65","Open Corners"
"E1","BEU+BSR+BSD+BEL","ECOR_RIGHTN","SCOR_LEFTN","ECOR_DOWNN","SCOR_UPN","50","Oblique Tiles"
"E2","BEU+BER+BSD+BSL","ECOR_LEFTN","SCOR_RIGHTN","SCOR_UPN","ECOR_DOWNN","50","Oblique Tiles"
"E3","BSU+BER+BED+BSL","SCOR_RIGHTN","ECOR_LEFTN","SCOR_DOWNN","ECOR_UPN","50","Oblique Tiles"
"E4","BSU+BSR+BED+BEL","SCOR_LEFTN","ECOR_RIGHTN","ECOR_UPN","SCOR_DOWNN","50","Oblique Tiles"
"F11","BE+BEU+BED+BER+BEL","ECOR_LEFTT","EMPTY","ECOR_UPT","EMPTY","5","Oblique Tiles"
"F12","BE+BEU+BED+BER+BEL","ECOR_RIGHTT","EMPTY","EMPTY","ECOR_UPT","5","Oblique Tiles"
"F13","BE+BEU+BED+BER+BEL","EMPTY","ECOR_RIGHTT","EMPTY","ECOR_DOWNT","5","Oblique Tiles"
"F14","BE+BEU+BED+BER+BEL","EMPTY","ECOR_LEFTT","ECOR_DOWNT","EMPTY","5","Oblique Tiles"
"F15","BE+BEU+BED+BER+BEL","ECOR_LEFTT","ECOR_RIGHTT","ECOR_UPT","ECOR_DOWNT","10","Oblique Tiles"
"F16","BE+BEU+BED+BER+BEL","ECOR_RIGHTT","ECOR_LEFTT","ECOR_DOWNT","ECOR_UPT","10","Oblique Tiles"
"F21","BS+BSU+BSD+BSR+BSL","SCOR_LEFTT","SOLID","SCOR_UPT","SOLID","95","Oblique Tiles"
"F22","BS+BSU+BSD+BSR+BSL","SCOR_RIGHTT","SOLID","SOLID","SCOR_UPT","95","Oblique Tiles"
"F23","BS+BSU+BSD+BSR+BSL","SOLID","SCOR_RIGHTT","SOLID","SCOR_DOWNT","95","Oblique Tiles"
"F24","BS+BSU+BSD+BSR+BSL","SOLID","SCOR_LEFTT","SCOR_DOWNT","SOLID","95","Oblique Tiles"
"F25","BS+BSU+BSD+BSR+BSL","SCOR_LEFTT","SCOR_RIGHTT","SCOR_UPT","SCOR_DOWNT","90","Oblique Tiles"
"F26","BS+BSU+BSD+BSR+BSL","SCOR_RIGHTT","SCOR_LEFTT","SCOR_DOWNT","SCOR_UPT","90","Oblique Tiles"
"G11","BEU+BER+BEL","EMPTY","HCOR_LEFTN","ECOR_DOWNN","EMPTY","15","Close Corners"
"G12","BEU+BER+BEL","EMPTY","HCOR_RIGHTN","EMPTY","ECOR_DOWNN","15","Close Corners"
"G13","BER+BED+BEU","ECOR_LEFTN","EMPTY","HCOR_UPN","EMPTY","15","Close Corners"
"G14","BER+BED+BEU","EMPTY","ECOR_LEFTN","HCOR_DOWNN","EMPTY","15","Close Corners"
"G15","BED+BEL+BER","HCOR_RIGHTN","EMPTY","EMPTY","ECOR_UPN","15","Close Corners"
"G16","BED+BEL+BER","HCOR_LEFTN","EMPTY","ECOR_UPN","EMPTY","15","Close Corners"
